model_year,origin,fuel_type,drivetrain,num_doors,engine_displacement,num_cylinders,horsepower,vehicle_weight,acceleration,fuel_efficiency_mpg
2023,Europe,Gasoline,Front-wheel drive,4,2200,6,228.0,4060,18.1,31.5
1989,USA,Diesel,Front-wheel drive,3,2070,6,255.0,4200,19.5,30.7
2014,USA,Gasoline,Rear-wheel drive,2,2310,6,269.0,4220,17.5,30.7
1987,USA,Gasoline,Front-wheel drive,2,2380,6,266.0,4140,19.0,28.8
1976,USA,Gasoline,Front-wheel drive,3,2230,6,,4280,19.9,25.0
1979,USA,Gasoline,Front-wheel drive,3,2320,6,,4180,18.3,26.3
1997,Asia,Gasoline,Front-wheel drive,2,1820,5,219.0,3620,18.9,30.5
2009,USA,Gasoline,Front-wheel drive,4,2290,6,250.0,4320,17.6,28.8
1998,Asia,Gasoline,Rear-wheel drive,3,2180,6,237.0,4260,17.2,26.1
1987,USA,Gasoline,Front-wheel drive,2,2260,6,247.0,4310,20.5,29.4
1984,USA,Hybrid,Front-wheel drive,5,2510,6,,4160,17.2,31.1
2018,USA,Gasoline,Front-wheel drive,4,2330,7,261.0,4290,17.9,30.2
1991,Asia,Hybrid,Rear-wheel drive,3,2180,5,254.0,4090,19.6,32.7
1987,Asia,Diesel,All-wheel drive,4,2370,6,278.0,4710,21.2,25.8
2010,USA,Gasoline,Rear-wheel drive,2,2510,7,298.0,4560,19.0,26.5
1977,Asia,Gasoline,Rear-wheel drive,2,2230,6,236.0,4380,19.8,28.2
1998,Asia,Gasoline,Front-wheel drive,3,2200,6,236.0,4050,18.7,30.5
2024,Asia,Gasoline,Front-wheel drive,4,2370,6,244.0,4360,17.0,34.0
1983,Asia,Gasoline,Front-wheel drive,4,2380,6,249.0,4310,18.8,29.2
2000,Europe,Diesel,All-wheel drive,5,1960,6,259.0,4300,19.6,31.3
1983,Asia,Hybrid,All-wheel drive,3,2310,6,,4380,18.7,31.4
2016,USA,Diesel,Rear-wheel drive,4,2440,6,267.0,4480,18.2,29.9
1984,USA,Hybrid,Front-wheel drive,4,2210,6,,4490,18.0,32.3
1999,USA,Gasoline,Front-wheel drive,3,2140,6,247.0,3990,20.0,30.8
2021,USA,Gasoline,All-wheel drive,4,2310,6,256.0,4640,18.4,28.5
2024,Europe,Gasoline,Front-wheel drive,4,1920,5,200.0,3970,19.3,35.3
2012,Europe,Gasoline,Front-wheel drive,3,2020,5,210.0,3700,18.7,34.2
1986,Asia,Gasoline,Front-wheel drive,4,2310,6,224.0,4140,21.0,30.1
1982,Asia,Gasoline,Front-wheel drive,2,2290,6,,3960,17.8,26.4
1990,Europe,Gasoline,All-wheel drive,5,2370,6,245.0,4740,19.7,25.9
2010,Asia,Gasoline,Rear-wheel drive,5,2330,6,250.0,4530,20.0,27.7
1975,USA,Gasoline,Front-wheel drive,5,2500,7,275.0,4330,18.9,29.2
1981,Europe,Diesel,All-wheel drive,5,2280,6,267.0,4540,18.4,28.4
2022,USA,Gasoline,All-wheel drive,5,2390,7,289.0,4610,18.1,31.6
2019,Europe,Gasoline,Front-wheel drive,4,2270,6,237.0,4140,16.5,30.1
2019,Europe,Gasoline,Front-wheel drive,5,2620,7,282.0,4730,,31.5
2001,USA,Diesel,All-wheel drive,5,2270,6,279.0,4330,18.7,26.7
2001,Europe,Diesel,Rear-wheel drive,2,2200,6,260.0,4340,16.0,30.9
2012,Asia,Gasoline,Rear-wheel drive,4,2370,6,249.0,4740,20.0,30.0
2023,Europe,Gasoline,Rear-wheel drive,5,2340,6,263.0,4480,20.4,30.6
1977,USA,Hybrid,Front-wheel drive,2,2100,6,,4020,19.8,34.4
2019,Asia,Diesel,Front-wheel drive,2,2100,6,239.0,3800,17.6,36.6
2023,USA,Gasoline,All-wheel drive,3,2430,6,271.0,4260,16.7,30.4
1983,USA,Hybrid,Front-wheel drive,4,2580,6,,4580,18.7,30.7
1994,USA,Diesel,Front-wheel drive,3,2140,7,285.0,4330,17.3,29.8
2023,Europe,Gasoline,Front-wheel drive,4,2270,6,242.0,4070,18.0,31.7
2005,Asia,Diesel,Rear-wheel drive,5,2470,7,295.0,4760,19.2,30.0
2010,USA,Gasoline,Front-wheel drive,3,2360,6,246.0,4240,19.7,31.7
2024,Europe,Gasoline,Front-wheel drive,4,2120,5,229.0,4100,18.4,33.7
1990,Europe,Hybrid,Rear-wheel drive,5,2190,6,256.0,4350,20.3,35.0
2008,Europe,Gasoline,Front-wheel drive,4,2200,6,243.0,4000,19.0,34.5
2008,Asia,Hybrid,Front-wheel drive,3,2040,5,213.0,3830,19.7,34.8
1987,USA,Gasoline,All-wheel drive,2,2230,6,258.0,4520,19.6,25.6
1992,Asia,Gasoline,Front-wheel drive,3,2010,5,216.0,3750,20.1,32.8
2000,Europe,Diesel,Front-wheel drive,4,2400,6,253.0,4480,19.3,32.5
1993,USA,Gasoline,All-wheel drive,4,2160,6,248.0,4680,20.2,26.0
1989,Europe,Gasoline,Front-wheel drive,3,2380,6,260.0,4130,20.2,31.3
1978,Europe,Gasoline,Front-wheel drive,3,2130,6,,4150,19.7,29.8
1990,USA,Diesel,Front-wheel drive,3,2280,6,279.0,4350,18.4,31.2
1984,Europe,Hybrid,Front-wheel drive,3,2250,6,,4330,,31.8
1982,Asia,Gasoline,All-wheel drive,2,2290,6,260.0,4380,16.7,26.7
2005,USA,Gasoline,Front-wheel drive,4,2120,6,241.0,4030,18.4,31.4
2023,Europe,Gasoline,Front-wheel drive,3,2360,6,244.0,4090,18.3,31.6
2000,USA,Hybrid,All-wheel drive,4,2610,7,297.0,4890,18.7,27.8
1975,Asia,Gasoline,Front-wheel drive,3,2420,6,,4600,20.7,29.9
2018,Asia,Gasoline,All-wheel drive,3,2160,5,237.0,4360,17.4,31.4
1982,Europe,Gasoline,Rear-wheel drive,3,2150,6,,3840,18.1,29.4
1978,USA,Gasoline,Rear-wheel drive,2,2420,6,,4470,18.9,26.0
1989,Europe,Diesel,Front-wheel drive,4,2020,5,251.0,3940,17.2,32.0
2002,Asia,Hybrid,Front-wheel drive,4,2320,6,247.0,4330,20.8,31.6
1993,Asia,Gasoline,All-wheel drive,5,2170,6,232.0,4330,18.6,29.8
2010,USA,Diesel,Front-wheel drive,4,2360,6,279.0,4410,19.2,30.2
2008,USA,Hybrid,Front-wheel drive,2,2260,7,264.0,4180,16.5,33.3
1993,USA,Gasoline,Rear-wheel drive,5,2390,6,266.0,4810,17.8,27.9
2000,Europe,Diesel,All-wheel drive,2,2250,6,237.0,4430,18.7,29.8
2000,USA,Gasoline,All-wheel drive,3,2090,6,257.0,4270,19.4,31.9
1978,USA,Gasoline,Front-wheel drive,3,2150,6,255.0,4060,18.4,27.7
2011,Asia,Gasoline,Rear-wheel drive,3,2090,6,252.0,4410,17.9,30.9
1990,USA,Gasoline,Rear-wheel drive,4,2100,6,219.0,4090,19.1,29.4
1990,Asia,Diesel,Front-wheel drive,4,2150,6,259.0,4010,19.8,32.0
1999,USA,Gasoline,Front-wheel drive,5,2210,6,259.0,4390,20.7,31.0
1989,USA,Gasoline,Rear-wheel drive,3,2150,6,246.0,4280,18.1,28.8
2020,Asia,Gasoline,Rear-wheel drive,5,2290,6,251.0,4450,19.0,33.8
1987,Europe,Gasoline,Front-wheel drive,5,2290,6,,4190,19.3,28.8
1986,USA,Diesel,Front-wheel drive,5,1910,5,220.0,3930,19.2,30.4
1998,Europe,Gasoline,Rear-wheel drive,5,1930,6,219.0,3960,18.4,33.7
2009,USA,Gasoline,Rear-wheel drive,4,2160,6,247.0,4220,19.1,30.5
2008,Europe,Gasoline,All-wheel drive,3,2330,6,258.0,4420,20.2,25.3
1986,USA,Gasoline,Rear-wheel drive,4,2430,6,269.0,4600,20.4,25.0
1994,USA,Gasoline,Front-wheel drive,2,2280,6,250.0,3960,17.9,30.0
1986,Europe,Gasoline,All-wheel drive,5,2250,6,230.0,4520,20.0,27.4
1998,USA,Gasoline,Rear-wheel drive,4,2290,6,261.0,4340,17.8,26.2
1979,USA,Hybrid,Front-wheel drive,3,2400,7,284.0,4520,18.1,30.6
2003,Asia,Diesel,All-wheel drive,3,2190,6,268.0,4440,17.4,30.2
1983,Europe,Gasoline,Front-wheel drive,3,1880,5,210.0,3800,20.0,27.4
2007,Asia,Hybrid,Front-wheel drive,4,2210,6,251.0,4170,18.4,35.6
1999,Asia,Gasoline,All-wheel drive,3,2310,6,245.0,4280,20.0,28.3
1991,Asia,Hybrid,Front-wheel drive,4,2410,6,262.0,4520,19.4,34.2
2014,Europe,Hybrid,Rear-wheel drive,5,2560,7,280.0,4980,21.2,32.2
2007,USA,Gasoline,Front-wheel drive,3,2500,7,287.0,4280,20.1,28.9
2020,Europe,Hybrid,Front-wheel drive,4,2250,6,247.0,4050,19.8,37.2
2019,USA,Gasoline,All-wheel drive,5,2310,6,258.0,4480,16.7,30.9
1991,USA,Diesel,Front-wheel drive,2,2290,7,278.0,4210,18.1,30.3
2017,USA,Gasoline,All-wheel drive,3,2450,6,268.0,4600,19.5,27.7
1980,USA,Gasoline,All-wheel drive,4,2230,6,,4690,22.2,22.3
2004,USA,Gasoline,Front-wheel drive,3,1960,6,238.0,3720,19.5,31.5
1990,Asia,Gasoline,Front-wheel drive,4,2480,7,277.0,4510,19.6,28.3
1984,USA,Gasoline,Front-wheel drive,4,2380,6,259.0,4620,19.6,26.9
2019,USA,Gasoline,Front-wheel drive,3,1780,5,230.0,3850,17.9,32.5
2008,Asia,Gasoline,Front-wheel drive,3,2160,5,230.0,4060,19.6,31.7
2011,USA,Gasoline,Front-wheel drive,2,2240,6,275.0,4180,19.4,28.7
2007,USA,Gasoline,Front-wheel drive,3,2360,7,270.0,4550,17.6,29.3
2018,Asia,Gasoline,Front-wheel drive,2,2220,6,233.0,3780,17.6,35.0
2018,Asia,Diesel,Front-wheel drive,4,2010,5,240.0,3720,18.8,35.9
2012,Asia,Gasoline,Front-wheel drive,4,2090,6,216.0,4040,18.8,34.0
1975,Europe,Gasoline,Front-wheel drive,4,2210,6,,4130,17.1,28.3
2023,USA,Gasoline,Front-wheel drive,4,2310,7,274.0,4320,17.6,29.7
2016,Asia,Gasoline,Rear-wheel drive,2,1930,5,226.0,3880,19.4,34.0
1983,USA,Diesel,Front-wheel drive,3,2340,6,,4710,20.7,28.1
2003,Europe,Gasoline,Rear-wheel drive,2,2500,7,273.0,4610,18.0,26.4
2011,Europe,Gasoline,Rear-wheel drive,3,2400,7,263.0,4390,17.7,29.4
2021,Asia,Diesel,Rear-wheel drive,5,1670,4,210.0,3730,18.7,39.1
2021,Europe,Gasoline,Front-wheel drive,3,2410,6,243.0,3950,19.0,31.0
1988,Europe,Diesel,Front-wheel drive,2,1950,5,220.0,3690,18.2,30.1
1980,Asia,Gasoline,Front-wheel drive,2,2110,6,252.0,3800,20.9,28.3
2020,Asia,Gasoline,All-wheel drive,4,2090,6,216.0,4490,19.1,30.0
1995,Asia,Diesel,Rear-wheel drive,2,2040,6,247.0,4140,19.7,33.0
1992,Europe,Gasoline,All-wheel drive,4,1940,5,214.0,3890,18.7,29.4
1984,USA,Gasoline,Front-wheel drive,3,2150,5,231.0,4050,17.7,26.6
1994,USA,Hybrid,All-wheel drive,3,1980,5,233.0,4310,19.4,33.8
2023,Europe,Gasoline,All-wheel drive,2,2390,7,239.0,4450,19.4,30.7
1996,Asia,Gasoline,All-wheel drive,4,2020,5,226.0,3930,19.4,29.3
1984,Asia,Gasoline,All-wheel drive,3,2090,5,,3990,20.5,29.5
2008,Europe,Gasoline,Front-wheel drive,5,2270,6,255.0,4280,18.0,31.1
2013,Asia,Gasoline,Front-wheel drive,4,2310,6,238.0,4140,17.3,32.8
1995,Europe,Gasoline,All-wheel drive,3,2210,6,242.0,4240,20.0,29.3
1981,USA,Gasoline,Rear-wheel drive,3,2370,6,251.0,4140,19.4,25.2
2013,USA,Diesel,Rear-wheel drive,3,2500,7,313.0,4490,18.5,28.8
1977,Asia,Gasoline,Rear-wheel drive,4,2140,6,250.0,4300,20.3,27.2
1994,Asia,Gasoline,Front-wheel drive,4,2430,6,250.0,4520,17.7,27.5
2012,Europe,Gasoline,Rear-wheel drive,3,2640,7,288.0,4630,18.5,25.9
1997,Europe,Diesel,Front-wheel drive,4,2450,7,297.0,4410,18.3,30.1
1984,USA,Gasoline,Front-wheel drive,2,2150,6,,4140,19.3,27.5
2023,USA,Gasoline,Front-wheel drive,5,1920,5,225.0,4110,19.8,33.2
2012,USA,Diesel,Front-wheel drive,2,2060,6,249.0,3910,17.1,31.3
2018,Asia,Diesel,Front-wheel drive,2,2130,6,262.0,4050,16.1,38.4
1983,USA,Gasoline,All-wheel drive,2,2190,6,224.0,4340,20.0,24.8
2007,Asia,Diesel,Rear-wheel drive,2,2070,6,235.0,3950,20.2,35.4
2012,Asia,Gasoline,All-wheel drive,3,2430,7,260.0,4470,18.9,31.4
2008,USA,Gasoline,All-wheel drive,4,2110,5,243.0,4380,19.1,30.8
2000,Europe,Gasoline,Front-wheel drive,4,2310,6,262.0,4350,16.5,31.0
2003,Europe,Gasoline,All-wheel drive,3,2250,6,253.0,4300,16.7,30.2
2024,Asia,Gasoline,Front-wheel drive,3,2370,6,261.0,4130,18.0,32.2
2024,Asia,Diesel,Rear-wheel drive,4,2450,6,250.0,4190,18.9,31.1
1980,Europe,Gasoline,Rear-wheel drive,3,2060,5,,4040,17.7,29.0
2008,Europe,Gasoline,Front-wheel drive,2,2230,6,243.0,3900,17.9,32.3
2014,Europe,Gasoline,Front-wheel drive,4,2150,5,234.0,4310,20.2,32.2
1988,Europe,Gasoline,All-wheel drive,3,2000,6,235.0,4110,18.7,27.1
1985,USA,Gasoline,Front-wheel drive,3,2260,6,282.0,3930,17.8,27.7
1998,Asia,Gasoline,All-wheel drive,4,2300,6,287.0,4650,18.4,30.4
2014,USA,Gasoline,All-wheel drive,4,2420,6,267.0,4380,21.0,33.1
2001,USA,Gasoline,Rear-wheel drive,4,2400,6,268.0,4580,19.1,27.9
2012,USA,Gasoline,Front-wheel drive,3,2150,6,246.0,4100,20.4,32.0
1994,Europe,Gasoline,All-wheel drive,2,2570,7,289.0,4600,18.6,25.7
2020,Europe,Gasoline,Front-wheel drive,3,2710,7,305.0,4680,17.1,29.0
2021,USA,Diesel,Front-wheel drive,4,2550,6,269.0,4390,18.8,32.2
2017,USA,Gasoline,Rear-wheel drive,5,2680,7,299.0,4710,18.3,28.6
1984,Asia,Diesel,Rear-wheel drive,2,1790,5,186.0,3880,20.0,31.2
2007,Asia,Gasoline,All-wheel drive,2,2270,6,268.0,4130,18.8,30.6
2017,USA,Hybrid,Front-wheel drive,3,2060,6,260.0,4070,18.4,36.8
2005,USA,Diesel,All-wheel drive,2,2160,6,262.0,4130,17.5,28.9
2020,Europe,Gasoline,Rear-wheel drive,5,2430,6,254.0,4280,18.4,31.6
2014,Europe,Gasoline,Front-wheel drive,4,2250,6,244.0,4110,18.5,32.4
2021,USA,Gasoline,Rear-wheel drive,4,2410,7,277.0,4570,19.6,27.3
1994,USA,Gasoline,Front-wheel drive,2,2230,6,258.0,4280,18.0,28.8
2014,Europe,Gasoline,Front-wheel drive,3,1960,5,212.0,4000,,31.9
2015,USA,Gasoline,Front-wheel drive,2,2280,6,280.0,4160,17.1,28.3
1990,USA,Diesel,All-wheel drive,5,2600,7,318.0,4850,17.1,26.7
1996,Asia,Gasoline,Front-wheel drive,3,2100,6,218.0,3990,21.5,29.2
2012,Asia,Gasoline,Rear-wheel drive,4,2430,6,250.0,4550,17.1,32.2
1996,Europe,Gasoline,All-wheel drive,4,2390,6,248.0,4520,20.0,25.4
1995,USA,Gasoline,Front-wheel drive,3,2570,6,275.0,4520,21.1,29.5
2019,Asia,Gasoline,All-wheel drive,5,2390,6,259.0,4770,18.7,32.8
1984,Europe,Gasoline,All-wheel drive,3,2420,7,259.0,4770,20.2,25.2
2018,Europe,Gasoline,Front-wheel drive,3,1970,5,212.0,3610,17.3,33.7
2009,Asia,Gasoline,All-wheel drive,4,2330,6,263.0,4300,19.2,28.6
1990,Asia,Gasoline,Front-wheel drive,2,2300,6,261.0,4280,18.4,26.9
1984,Asia,Gasoline,Front-wheel drive,4,2150,6,,4320,20.1,27.6
2016,USA,Hybrid,Front-wheel drive,4,2470,6,286.0,4560,17.2,35.7
1985,Europe,Gasoline,All-wheel drive,3,2700,8,,4800,20.8,24.7
1990,Asia,Gasoline,Rear-wheel drive,4,2310,6,260.0,4480,19.6,29.0
2000,USA,Gasoline,Front-wheel drive,4,1970,5,234.0,4070,19.8,31.7
2010,USA,Gasoline,Front-wheel drive,2,2250,6,270.0,4090,19.2,33.0
1984,Europe,Gasoline,Front-wheel drive,4,1810,5,210.0,3690,16.4,31.3
2015,USA,Diesel,Front-wheel drive,3,2410,7,297.0,4260,18.2,32.0
1998,USA,Gasoline,Rear-wheel drive,3,2120,6,246.0,4030,18.0,31.2
2022,Europe,Gasoline,Front-wheel drive,2,2390,6,239.0,4240,19.2,32.7
2000,Europe,Hybrid,Rear-wheel drive,4,2430,6,248.0,4410,18.5,33.4
1978,USA,Gasoline,Front-wheel drive,2,2460,7,262.0,4400,19.1,25.8
1990,Asia,Diesel,Rear-wheel drive,4,2130,5,259.0,4050,17.6,29.0
1986,USA,Gasoline,Front-wheel drive,2,2030,6,254.0,4000,19.1,28.6
2016,Asia,Gasoline,All-wheel drive,5,2370,6,254.0,4500,18.7,28.4
2013,Europe,Gasoline,Rear-wheel drive,3,2200,5,233.0,4200,18.9,30.4
2022,USA,Diesel,Front-wheel drive,4,2310,6,288.0,4050,17.4,33.2
1996,USA,Gasoline,Rear-wheel drive,3,2400,6,264.0,4370,18.4,25.9
2005,Europe,Diesel,Front-wheel drive,2,2430,6,275.0,4360,19.8,31.9
2021,Europe,Gasoline,Front-wheel drive,4,2230,6,241.0,3970,16.6,32.8
2020,USA,Gasoline,Rear-wheel drive,3,2130,6,275.0,4380,18.9,30.0
2014,USA,Diesel,Front-wheel drive,5,2530,7,294.0,4770,18.0,34.2
1982,USA,Gasoline,Front-wheel drive,3,2280,6,266.0,4550,20.9,27.4
1975,Asia,Gasoline,All-wheel drive,4,2150,6,258.0,4200,20.3,26.1
1997,USA,Diesel,Rear-wheel drive,4,2140,6,269.0,4450,18.2,30.5
2005,USA,Gasoline,Front-wheel drive,5,2220,6,273.0,4420,20.6,29.1
1981,Asia,Gasoline,Front-wheel drive,3,2100,6,247.0,3850,18.0,30.0
